municipio_id,municipio_nome,uf,ano,populacao_estimada
2203453,Dom Inocêncio,PI,2019,9556
2203453,Dom Inocêncio,PI,2020,9565
2203453,Dom Inocêncio,PI,2021,9574
2203453,Dom Inocêncio,PI,2024,9335
2203503,Elesbão Veloso,PI,2019,14602
2203503,Elesbão Veloso,PI,2020,14575
2203503,Elesbão Veloso,PI,2021,14550
2203503,Elesbão Veloso,PI,2024,13786
2203602,Eliseu Martins,PI,2019,4915
2203602,Eliseu Martins,PI,2020,4930
2203602,Eliseu Martins,PI,2021,4943
2203602,Eliseu Martins,PI,2024,4435
2203701,Esperantina,PI,2019,39737
2203701,Esperantina,PI,2020,39848
2203701,Esperantina,PI,2021,39953
2203701,Esperantina,PI,2024,42510
2203750,Fartura do Piauí,PI,2019,5307
2203750,Fartura do Piauí,PI,2020,5319
2203750,Fartura do Piauí,PI,2021,5330
2203750,Fartura do Piauí,PI,2024,5414
2203800,Flores do Piauí,PI,2019,4463
2203800,Flores do Piauí,PI,2020,4462
2203800,Flores do Piauí,PI,2021,4461
2203800,Flores do Piauí,PI,2024,4508
2203859,Floresta do Piauí,PI,2019,2558
2203859,Floresta do Piauí,PI,2020,2560
2203859,Floresta do Piauí,PI,2021,2561
2203859,Floresta do Piauí,PI,2024,2364
2203909,Floriano,PI,2019,59935
2203909,Floriano,PI,2020,60025
2203909,Floriano,PI,2021,60111
2203909,Floriano,PI,2024,64150
2204006,Francinópolis,PI,2019,5348
2204006,Francinópolis,PI,2020,5347
2204006,Francinópolis,PI,2021,5345
2204006,Francinópolis,PI,2024,4517
2204105,Francisco Ayres,PI,2019,4348
2204105,Francisco Ayres,PI,2020,4323
2204105,Francisco Ayres,PI,2021,4300
2204105,Francisco Ayres,PI,2024,4494
2204154,Francisco Macedo,PI,2019,3184
2204154,Francisco Macedo,PI,2020,3200
2204154,Francisco Macedo,PI,2021,3216
2204154,Francisco Macedo,PI,2024,2986
2204204,Francisco Santos,PI,2019,9319
2204204,Francisco Santos,PI,2020,9372
2204204,Francisco Santos,PI,2021,9423
2204204,Francisco Santos,PI,2024,8366
2204303,Fronteiras,PI,2019,11625
2204303,Fronteiras,PI,2020,11659
2204303,Fronteiras,PI,2021,11690
2204303,Fronteiras,PI,2024,10382
2204352,Geminiano,PI,2019,5442
2204352,Geminiano,PI,2020,5460
2204352,Geminiano,PI,2021,5477
2204352,Geminiano,PI,2024,5587
2204402,Gilbués,PI,2019,10690
2204402,Gilbués,PI,2020,10694
2204402,Gilbués,PI,2021,10698
2204402,Gilbués,PI,2024,11166
2204501,Guadalupe,PI,2019,10499
2204501,Guadalupe,PI,2020,10497
2204501,Guadalupe,PI,2021,10496
2204501,Guadalupe,PI,2024,10478
2204550,Guaribas,PI,2019,4562
2204550,Guaribas,PI,2020,4568
2204550,Guaribas,PI,2021,4573
2204550,Guaribas,PI,2024,4350
2204600,Hugo Napoleão,PI,2019,3877
2204600,Hugo Napoleão,PI,2020,3879
2204600,Hugo Napoleão,PI,2021,3880
2204600,Hugo Napoleão,PI,2024,3562
2204659,Ilha Grande,PI,2019,9426
2204659,Ilha Grande,PI,2020,9457
2204659,Ilha Grande,PI,2021,9487
2204659,Ilha Grande,PI,2024,9501
2204709,Inhuma,PI,2019,15308
2204709,Inhuma,PI,2020,15319
2204709,Inhuma,PI,2021,15330
2204709,Inhuma,PI,2024,15259
2204808,Ipiranga do Piauí,PI,2019,9811
2204808,Ipiranga do Piauí,PI,2020,9838
2204808,Ipiranga do Piauí,PI,2021,9863
2204808,Ipiranga do Piauí,PI,2024,9620
2204907,Isaías Coelho,PI,2019,8549
2204907,Isaías Coelho,PI,2020,8566
2204907,Isaías Coelho,PI,2021,8582
2204907,Isaías Coelho,PI,2024,7886
2205003,Itainópolis,PI,2019,11530
2205003,Itainópolis,PI,2020,11551
2205003,Itainópolis,PI,2021,11571
2205003,Itainópolis,PI,2024,10980
2205102,Itaueira,PI,2019,11019
2205102,Itaueira,PI,2020,11028
2205102,Itaueira,PI,2021,11037
2205102,Itaueira,PI,2024,10493
2205151,Jacobina do Piauí,PI,2019,5741
2205151,Jacobina do Piauí,PI,2020,5729
2205151,Jacobina do Piauí,PI,2021,5718
2205151,Jacobina do Piauí,PI,2024,5715
2205201,Jaicós,PI,2019,19104
2205201,Jaicós,PI,2020,19170
2205201,Jaicós,PI,2021,19233
2205201,Jaicós,PI,2024,17811
2205250,Jardim do Mulato,PI,2019,4504
2205250,Jardim do Mulato,PI,2020,4513
2205250,Jardim do Mulato,PI,2021,4522
2205250,Jardim do Mulato,PI,2024,4251
2205276,Jatobá do Piauí,PI,2019,4865
2205276,Jatobá do Piauí,PI,2020,4875
2205276,Jatobá do Piauí,PI,2021,4885
2205276,Jatobá do Piauí,PI,2024,4568
2205300,Jerumenha,PI,2019,4452
2205300,Jerumenha,PI,2020,4447
2205300,Jerumenha,PI,2021,4443
2205300,Jerumenha,PI,2024,4600
2205359,João Costa,PI,2019,3008
2205359,João Costa,PI,2020,3005
2205359,João Costa,PI,2021,3003
2205359,João Costa,PI,2024,3031
2205409,Joaquim Pires,PI,2019,14354
2205409,Joaquim Pires,PI,2020,14376
2205409,Joaquim Pires,PI,2021,14396
2205409,Joaquim Pires,PI,2024,14175
2205458,Joca Marques,PI,2019,5443
2205458,Joca Marques,PI,2020,5466
2205458,Joca Marques,PI,2021,5488
2205458,Joca Marques,PI,2024,5535
2205508,José de Freitas,PI,2019,39208
2205508,José de Freitas,PI,2020,39336
2205508,José de Freitas,PI,2021,39457
2205508,José de Freitas,PI,2024,44391
2205516,Juazeiro do Piauí,PI,2019,5478
2205516,Juazeiro do Piauí,PI,2020,5485
2205516,Juazeiro do Piauí,PI,2021,5491
2205516,Juazeiro do Piauí,PI,2024,5311
2205524,Júlio Borges,PI,2019,5627
2205524,Júlio Borges,PI,2020,5640
2205524,Júlio Borges,PI,2021,5653
2205524,Júlio Borges,PI,2024,5499
2205532,Jurema,PI,2019,4763
2205532,Jurema,PI,2020,4777
2205532,Jurema,PI,2021,4790
2205532,Jurema,PI,2024,4505
2205540,Lagoinha do Piauí,PI,2019,2845
2205540,Lagoinha do Piauí,PI,2020,2858
2205540,Lagoinha do Piauí,PI,2021,2870
2205540,Lagoinha do Piauí,PI,2024,3029
2205557,Lagoa Alegre,PI,2019,8542
2205557,Lagoa Alegre,PI,2020,8577
2205557,Lagoa Alegre,PI,2021,8610
2205557,Lagoa Alegre,PI,2024,8449
